ID,time,day of week,day of year,latitude,longitude
22002,57600,5,185,41.743299025,-87.602579976
21957,63060,4,184,41.815751294,-87.618327133
21955,4800,4,184,41.727527094,-87.662827263
21956,3600,4,184,41.805824145,-87.663676702
21954,75960,3,183,41.841916851,-87.726918365
21953,70200,3,183,41.655895809,-87.594980408
21952,80280,2,182,41.858954299,-87.716809329
21951,85080,1,181,41.691307675,-87.660043802
21950,8880,1,181,41.872459213,-87.733473728
21948,15060,0,180,41.91629263,-87.692269133
21946,52680,6,179,41.713770588,-87.623655857
21945,70980,5,178,41.76182216,-87.590882696
21947,51600,5,178,41.801060677,-87.6897074
21944,14880,5,178,41.811531219,-87.668697679
22090,25200,4,177,41.735420622,-87.688879321
21943,62700,3,176,41.989958168,-87.670508463
21942,2100,3,176,41.861972438,-87.71773114
21941,2940,2,175,41.758069413,-87.634878071
21940,75420,1,174,41.831073285,-87.620211441
21939,50760,1,174,41.758047375,-87.600499493
21937,36600,6,172,41.883264252,-87.766614133
21936,83700,5,171,41.902572053,-87.732468298
21935,43320,5,171,41.742254682,-87.561226467
21934,81960,3,169,41.749797723,-87.624512495
21933,81180,3,169,41.774089562,-87.609437992
21932,54120,3,169,41.75076821,-87.607647841
21931,1440,3,169,41.96230433,-87.660978081
21930,85080,2,168,41.854356979,-87.728551754
21928,81840,1,167,41.880905236,-87.71216242
21929,65520,1,167,41.86187256,-87.716505967
21927,16260,1,167,41.750322112,-87.603940546
21926,4260,0,166,41.89764948,-87.759408897
21925,80160,6,165,41.962993658,-87.655933554
21918,2100,6,165,41.813551593,-87.671174895
21923,300,6,165,41.816040159,-87.70428986
21924,60300,5,164,42.020809541,-87.670721771
21917,20880,5,164,41.760773578,-87.645511035
21916,43200,4,163,41.900428297,-87.754814476
21914,6300,4,163,41.817686328,-87.618378979
21913,2700,4,163,41.981043015,-87.840162775
21912,56700,3,162,41.779020474,-87.699929557
21911,74100,2,161,41.835613582,-87.65022194
21910,2640,2,161,41.791147759,-87.685215478
21915,60,2,161,41.699802541,-87.629100771
21909,71520,0,159,41.726198426,-87.650638587
22242,60300,0,159,41.752551386,-87.602786549
21907,13800,6,158,41.910117898,-87.746104545
21908,13800,6,158,41.910117898,-87.746104545
21906,7980,5,157,41.82366832,-87.629850998
21905,84420,4,156,41.848977129,-87.692912303
21904,73440,4,156,41.67217274,-87.654207497
21903,81060,3,155,41.724092476,-87.591580972
21902,60600,2,154,42.013859865,-87.669053379
10097071,78079,1,153,41.777198547,-87.664157893
21901,52140,1,153,41.882519264,-87.728172413
21899,54000,0,152,41.894337212,-87.721155793
21898,71880,6,151,41.886834297,-87.749046475
21897,71280,6,151,41.883508816,-87.745389793
21896,46140,6,151,41.734546987,-87.62307913
24281,60,6,151,41.789406165,-87.668112217
21900,55440,5,150,41.770621253,-87.582573441
21893,7440,5,150,41.935389593,-87.652679121
21895,6060,5,150,41.852670072,-87.6942409
21894,3960,5,150,41.85802838,-87.651092033
22203,0,5,150,41.779882486,-87.60591913
21892,7200,4,149,41.969820278,-87.656236308
21890,52800,3,148,41.792410804,-87.71470444
21891,52800,3,148,41.792410804,-87.71470444
21888,74280,0,145,41.892234406,-87.749474726
21887,71160,0,145,41.828743353,-87.624192644
21886,52380,0,145,41.95675242,-87.722797798
21885,73200,6,144,41.814017834,-87.60666652
21883,62700,6,144,41.88360497,-87.707501835
21884,60300,6,144,41.902800026,-87.709856412
21882,5700,6,144,41.782259223,-87.670345664
21881,2880,6,144,41.750779238,-87.582877986
21880,60,6,144,41.967244668,-87.707213378
21889,65940,5,143,41.826375628,-87.611945922
21879,47700,5,143,41.880912591,-87.75508602
21878,10260,5,143,41.862535492,-87.652193172
21876,6360,5,143,41.909820423,-87.67124264
21877,63180,4,142,41.837861963,-87.659654778
21875,43920,3,141,41.742653123,-87.551562764
21868,72720,2,140,41.80549527,-87.725963532
21874,53580,2,140,41.940939441,-87.725231207
21867,42240,2,140,41.779228314,-87.680195316
21866,44160,0,138,41.738869436,-87.700588072
21864,3240,0,138,41.754400648,-87.550635931
21863,4800,5,136,41.864273203,-87.660207278
21862,69840,3,134,41.776697412,-87.6738345
21861,84180,2,133,41.699802541,-87.629100771
21860,72300,2,133,41.699802541,-87.629100771
22118,24300,0,131,41.809392691,-87.747197767
21858,38520,6,130,41.90040965,-87.756563117
21857,25200,6,130,41.968197047,-87.659261403
21855,2100,6,130,41.759409623,-87.605417347
21854,48120,5,129,41.76268665,-87.645560247
21853,72900,3,127,41.766178742,-87.648081529
21856,47040,3,127,41.743297474,-87.546655814
21852,60540,1,125,41.995332628,-87.686131356
21849,3900,6,123,41.777159455,-87.702352906
21845,84600,4,121,41.749630493,-87.651291874
21844,65700,4,121,41.758705721,-87.592751196
21848,63240,4,121,41.866996922,-87.73114209
21846,62040,4,121,41.866996922,-87.73114209
21843,2640,4,121,41.748270051,-87.631814453
21842,27420,3,120,41.971125877,-87.648264775
21839,50460,2,119,41.805765182,-87.673404434
21840,45900,2,119,41.866126984,-87.657643628
21836,55800,1,118,41.65496118,-87.608534028
10047709,79116,6,116,41.735752519,-87.625429032
21835,47700,6,116,41.872682099,-87.713942029
21833,8760,5,115,41.831181589,-87.678973942
21832,84060,4,114,41.724650968,-87.627529047
21831,37200,4,114,41.765888079,-87.689395594
21830,65400,3,113,41.762385622,-87.589322086
21828,79860,1,111,41.76366232,-87.579311694
21829,49740,1,111,41.855574302,-87.71189003
21827,9300,1,111,41.816485491,-87.6265473
21825,80220,0,110,41.708145189,-87.651378966
21826,57240,0,110,41.784744,-87.615738439
21824,23700,6,109,41.930801083,-87.751478832
21823,23700,6,109,41.930801083,-87.751478832
21822,20280,6,109,41.848848115,-87.692906249
21821,4920,5,108,41.895681406,-87.692890346
21820,3300,5,108,41.900039997,-87.72378279
22205,64200,2,105,41.91482839,-87.690516553
21819,11760,2,105,41.96416436,-87.656682274
21815,77220,5,101,41.76389472,-87.61471722
21814,83760,4,100,41.68814117,-87.643462515
21813,51900,2,98,41.921199662,-87.792007111
21812,41820,2,98,41.742684668,-87.563141378
21811,10380,2,98,41.91392608,-87.695040991
21810,61620,5,94,41.751436547,-87.674386315
21809,44280,5,94,41.7750266,-87.665364618
21808,52620,4,93,41.766637378,-87.637182455
21807,43680,4,93,41.788410913,-87.615825885
21817,25200,4,93,41.733496394,-87.604746446
21806,76080,3,92,41.769232737,-87.620944418
21805,8760,3,92,41.763864124,-87.676542751
21804,3060,3,92,41.771096902,-87.576434913
21803,68700,2,91,41.764450345,-87.698320777
21802,44340,1,90,41.932723985,-87.691586431
21801,39300,1,90,41.792321579,-87.656534454
21800,53400,0,89,41.790141834,-87.649912869
21799,8820,6,88,41.671516943,-87.651443612
21798,7980,5,87,41.852089006,-87.623784345
21797,7440,4,86,41.741170915,-87.585745319
21796,64740,3,85,41.877555323,-87.755968179
21795,66240,2,84,41.924102822,-87.756452662
21794,24900,1,83,41.881978408,-87.697650504
21793,77580,6,81,41.973109096,-87.684977358
21792,35580,6,81,41.696830001,-87.541349099
22213,0,6,81,41.876895616,-87.703546558
21791,45120,5,80,41.733253531,-87.667856608
21790,62040,4,79,41.748315167,-87.550031913
21789,76740,3,78,41.898563902,-87.698018649
21788,40800,3,78,41.748772464,-87.70236711
21787,8760,3,78,41.878458449,-87.745204753
21786,2940,3,78,41.746875014,-87.636622787
21784,11460,0,75,41.921545627,-87.669188669
21785,11460,0,75,41.921545627,-87.669188669
21783,70080,6,74,41.909296329,-87.772239931
21782,70020,6,74,41.909296329,-87.772239931
21781,48060,6,74,41.946726473,-87.772569826
21780,17340,6,74,41.972462991,-87.726935628
21779,71580,0,68,41.725844616,-87.65670508
21778,70860,0,68,41.703445434,-87.629291729
21777,53520,0,68,41.96270134,-87.653370223
21776,34560,0,68,41.840020892,-87.720774668
21775,66780,6,67,41.776176511,-87.594551952
22212,10800,6,67,41.876895616,-87.703546558
21774,60060,5,66,41.808509341,-87.674817794
21772,6720,5,66,41.858003291,-87.652876321
21773,6720,5,66,41.858003291,-87.652876321
24273,25200,1,62,41.810879969,-87.601728004
21769,69600,0,61,41.703644635,-87.564453394
21767,71100,2,56,41.686521024,-87.61683831
21768,54540,2,56,41.884498505,-87.741458652
21765,23820,2,56,42.011893605,-87.674519739
21764,55200,6,53,41.768431709,-87.674333391
21763,63840,5,52,41.967146776,-87.663140769
21762,67260,4,51,41.791994694,-87.646310475
21761,11820,4,51,41.92500526,-87.679563115
21759,15660,6,46,41.764974559,-87.659310823
21758,80700,1,41,41.910499189,-87.731236702
21760,0,1,41,41.926409544,-87.761153938
21756,78960,0,40,41.903170357,-87.754381974
21753,77460,0,40,41.883811077,-87.671812366
21757,40200,0,40,41.876796412,-87.761703187
21752,84360,6,39,41.920657269,-87.776145534
21755,44100,6,39,41.688100085,-87.636199237
21818,25200,3,36,41.677244043,-87.628640273
21748,58020,2,35,41.739787158,-87.700293265
21750,84780,0,33,41.712456039,-87.620106677
21746,33360,0,33,41.806671065,-87.615339745
21745,75180,6,32,41.850359857,-87.623741058
21744,43320,5,31,41.747141383,-87.574686235
21749,67980,4,30,41.859993621,-87.711579264
21743,64320,4,30,41.766156013,-87.669924987
21742,12000,3,29,41.83607872,-87.657409354
21741,7560,3,29,41.677244043,-87.628640273
22831,60,3,29,41.922162704,-87.779310887
21739,75600,1,27,41.802195281,-87.609675541
21738,42840,1,27,41.848054237,-87.712759263
21737,7980,5,24,41.883196036,-87.739535384
21736,73080,4,23,41.770980744,-87.6834133
21735,69900,4,23,41.750472394,-87.634297122
21734,70740,2,21,41.802277495,-87.655080002
21733,33900,2,21,41.772958903,-87.6809078
21732,2520,2,21,41.797277742,-87.653742794
21731,38640,1,20,41.75375771,-87.552135344
21730,44400,6,18,41.882185074,-87.679713374
21729,69000,5,17,41.718888535,-87.644364499
21728,48360,5,17,41.864337788,-87.725421626
21727,69720,4,16,41.78838211,-87.684348624
21725,62520,2,14,41.7457119,-87.684023656
21723,79800,1,13,41.823354247,-87.618539727
21724,63600,1,13,41.816501877,-87.689552817
21721,1500,5,10,41.880298941,-87.735464135
21722,58800,4,9,41.77234679,-87.653434136
21719,77400,3,8,41.865562351,-87.703136478
21718,64380,1,6,41.751678423,-87.57023511
21717,56280,1,6,41.751678423,-87.57023511
21716,2940,1,6,41.723546383,-87.607485349
21715,79860,0,5,41.752416738,-87.710383001
21714,21000,5,3,41.894009145,-87.751482327
21713,53700,2,365,41.748875144,-87.585894137
21711,59700,6,362,41.802627142,-87.653876989
21710,59520,6,362,41.797000522,-87.653734721
21712,27900,6,362,41.761486891,-87.587844352
